ANT1,44.89,10.25,90.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,37.71,14.83,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,19.42,13.23,0.00,10uF,NORDIC_NRF_3_RESC0402_L
C10,38.77,19.13,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,37.71,13.68,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,36.52,19.18,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,33.73,19.38,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,30.04,18.78,0.00,4.7uF,NORDIC_NRF_3_RESC0201_L
C15,35.55,20.58,0.00,1.0uF,NORDIC_NRF_3_RESC0201_L
C16,37.19,20.58,0.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,26.87,17.78,0.00,12pF,PERFECT_0402_0402
C18,26.78,15.38,0.00,12pF,PERFECT_0402_0402
C19,27.26,8.28,0.00,100nF,PERFECT_0402_0402
C2,40.97,16.88,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,13.38,6.68,0.00,4.7uF/25V,NORDIC_NRF_3_RESC0402_L
C20,31.48,10.12,0.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C21,30.86,8.28,0.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C22,40.73,3.82,180.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,22.48,26.08,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,22.19,24.08,0.00,10uF,PERFECT_0402_0402
C25,28.37,25.68,0.00,22uF,PERFECT_0402_0402
C27,44.42,30.98,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,34.65,5.75,270.00,1uF,GRM011R60J152KE01L_1_0201
C3,40.53,6.58,180.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,12.55,5.73,270.00,1uF,GRM011R60J152KE01L_1_0201
C31,23.55,5.79,270.00,1uF,GRM011R60J152KE01L_1_0201
C32,37.22,28.18,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C33,31.32,25.90,90.00,22uF,PERFECT_0402_0402
C34,37.21,22.18,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,38.62,30.58,180.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C38,36.73,33.08,180.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C39,38.74,32.18,180.00,10uF,PERFECT_0402_0402
C4,42.88,3.95,270.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,30.81,28.85,180.00,0.1uF,GRM011R60J152KE01L_1_0201
C43,32.47,28.78,0.00,4.7uF,PERFECT_0402_0402
C5,28.92,16.32,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,38.29,10.68,0.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C7,36.10,10.18,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,33.51,10.18,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,37.72,12.58,0.00,820pF,NORDIC_NRF_3_RESC0201_L
